Long,Lat
174.7766806,-41.2898881
174.7767488,-41.2903321
174.7767147,-41.29057117
174.7764077,-41.29074194
174.7759301,-41.29115179
174.7750772,-41.29173241
174.7744972,-41.29203979
174.7737467,-41.29214225
174.7733373,-41.29190318
174.7725868,-41.29108348
174.7723138,-41.29053702
174.7720409,-41.29053702
174.7717509,-41.2908444
174.7716657,-41.29125425
174.7718362,-41.29190318
174.7718704,-41.29224471
174.7718021,-41.29244964
174.7722797,-41.29263748
174.7731326,-41.29285948
174.7739173,-41.29285948
174.7749066,-41.29227887
174.7763394,-41.29139087
174.77709,-41.29091271
174.7777723,-41.29053702
NA,NA
174.7786934,-41.29104933
174.7783864,-41.29152748
174.7780793,-41.29193733
174.7778064,-41.29234718
174.7774994,-41.29268872
174.7767829,-41.29309856
174.7763394,-41.2934401
174.775896,-41.29364502
174.7752478,-41.29439641
174.7742243,-41.29497703
174.7737467,-41.29531857
174.7736102,-41.29552349
174.7733373,-41.29562595
174.772655,-41.29600164
174.7727915,-41.29617241
174.7730644,-41.29617241
174.7735761,-41.29586503
174.7739855,-41.29583087
174.7745313,-41.29525026
174.7754866,-41.2947038
174.7761006,-41.29422564
174.77651,-41.29364502
174.77709,-41.29333764
174.7778064,-41.29292779
174.7784546,-41.29231302
174.7787957,-41.29190318
174.7790687,-41.29142502
NA,NA
174.7796145,-41.2916641
174.7792051,-41.29248379
174.778864,-41.29292779
174.778864,-41.29340595
174.7783522,-41.29425979
174.7781476,-41.29466964
174.7778064,-41.29535272
174.7773629,-41.29572841
174.7770218,-41.29593334
174.7764077,-41.29596749
174.7754183,-41.29610411
174.7749407,-41.29637734
174.7748384,-41.29661641
174.7750431,-41.29675303
174.7756571,-41.29658226
174.776203,-41.29634318
174.7767147,-41.29641149
174.7772264,-41.29644564
174.7775335,-41.29630903
174.7780111,-41.29576257
174.7784205,-41.29528441
174.7785911,-41.29480626
174.778864,-41.29456718
174.7791369,-41.29439641
174.7791028,-41.29412318
174.7794098,-41.29402072
174.7797169,-41.29412318
174.7796827,-41.29439641
174.7794781,-41.29480626
174.7787957,-41.29620657
174.7785569,-41.29637734
174.7781817,-41.29658226
174.7774653,-41.29729949
174.7770218,-41.2978118
174.7766465,-41.29801672
174.7766124,-41.29835826
174.77709,-41.29835826
174.7776358,-41.29770934
174.7781476,-41.29706041
174.7784887,-41.29678718
174.7788981,-41.29654811
174.7795122,-41.29586503
174.7801262,-41.29473795
174.780638,-41.29480626
174.7808085,-41.29494287
174.7804674,-41.29600164
174.7809109,-41.2964798
174.7808427,-41.29706041
174.7814226,-41.29726534
174.7816955,-41.29709457
174.7817297,-41.29678718
174.7814567,-41.29644564
174.7814567,-41.29620657
174.7816955,-41.29562595
174.7816444,-41.29523318
174.7811838,-41.29494287
174.7805015,-41.29425979
174.7805697,-41.29408903
174.7808085,-41.29412318
174.7811838,-41.29412318
174.7814567,-41.29395241
174.7817638,-41.29425979
174.7825484,-41.29460133
174.7830943,-41.29456718
174.7839471,-41.2947721
174.7840495,-41.29497703
174.7839471,-41.29531857
174.784186,-41.2960358
174.7845271,-41.2962578
174.7852776,-41.29610411
174.7855506,-41.29624072
174.7857553,-41.29651395
174.7859941,-41.29644564
174.7859941,-41.29617241
174.7854141,-41.29579672
174.7846636,-41.29576257
174.7843565,-41.29552349
174.7843565,-41.2952161
174.7845953,-41.29484041
174.7848683,-41.29391826
174.7846295,-41.29354256
174.7838789,-41.29374749
174.7831284,-41.29374749
174.7825484,-41.29330349
174.7811497,-41.29303025
174.7807744,-41.29279118
174.7798192,-41.29275702
174.7797169,-41.2925521
174.780058,-41.29203979
174.7801774,-41.29190318
NA,NA
174.7774994,-41.27950531
174.7773288,-41.27923208
174.77709,-41.27902715
174.7771582,-41.27882223
174.7774994,-41.27868562
174.7779087,-41.27875392
174.777977,-41.27841238
174.7777041,-41.27817331
174.7766806,-41.27796838
174.7750772,-41.27783177
174.7734397,-41.27786592
174.7730303,-41.27813915
174.7725527,-41.27851485
174.7724844,-41.27878808
174.7721774,-41.27885639
174.7719045,-41.27950531
174.7715633,-41.27971023
174.7714269,-41.28015423
174.7706763,-41.28087147
174.7704716,-41.28093977
174.7703352,-41.281213
174.7699258,-41.28172531
174.7696529,-41.28148624
174.7693458,-41.28148624
174.7692435,-41.28117885
174.7694482,-41.28100808
174.7697552,-41.28083731
174.7700622,-41.28056408
174.7701646,-41.2802567
174.7705399,-41.27994931
174.7708128,-41.27936869
174.7713586,-41.27892469
174.7719727,-41.27844654
174.7727915,-41.27793423
174.7734397,-41.27759269
174.7755889,-41.27745608
174.7766465,-41.27738777
174.7769194,-41.27759269
174.7774994,-41.277661
174.7780111,-41.27786592
174.7784546,-41.27830992
174.7787275,-41.27882223
NA,NA
174.783913,-41.27520192
174.7834013,-41.27496284
174.7826167,-41.27472376
174.7816273,-41.27482622
174.7805697,-41.27455299
174.780058,-41.27450176
174.7795463,-41.27470669
174.7786934,-41.27475792
174.7780452,-41.27503115
174.7776358,-41.27509946
174.777397,-41.27504823
174.7761006,-41.27496284
174.7754866,-41.27527023
174.7748043,-41.27533853
174.7740196,-41.27602161
174.7732691,-41.27643146
174.7729962,-41.27649977
174.7722797,-41.27697792
174.7718362,-41.27759269
174.7712904,-41.27790008
174.7708128,-41.27841238
174.7706081,-41.27875392
174.7701987,-41.27909546
174.7697211,-41.27930039
174.7694141,-41.27957362
174.7692776,-41.27991516
174.7690388,-41.28008593
174.7682541,-41.28080316
174.7681518,-41.28100808
174.7678106,-41.281213
174.7675377,-41.28100808
174.7675377,-41.28080316
174.7680836,-41.28039331
174.7692776,-41.27923208
174.7698234,-41.27868562
174.7701305,-41.27837823
174.7706763,-41.27783177
174.7709151,-41.27783177
174.771188,-41.27745608
174.7722797,-41.27636315
174.7722797,-41.27619238
174.7725868,-41.27581669
174.7732691,-41.27574838
174.7737126,-41.27564592
174.7741902,-41.27492869
174.7745313,-41.27475792
174.7751454,-41.27472376
174.7768512,-41.27404069
174.777397,-41.27404069
174.7778064,-41.27427976
174.7784205,-41.27431392
174.7794098,-41.27397238
174.7816614,-41.27397238
174.7819343,-41.27407484
174.7822073,-41.27407484
174.782719,-41.27445053
174.7831966,-41.27441638
174.7834695,-41.27465546
174.7838448,-41.27472376
NA,NA
174.7817979,-41.2715133
174.7813203,-41.27168407
174.7804674,-41.27182068
174.7794781,-41.27205976
174.7779087,-41.27205976
174.7777723,-41.2719573
174.7774311,-41.2719573
174.7769194,-41.27219637
174.7757595,-41.27335761
174.7750431,-41.27359668
174.7744972,-41.27383576
174.7737808,-41.27465546
174.7731326,-41.27503115
174.7730644,-41.27492869
174.7734055,-41.27458715
174.7743949,-41.27363084
174.7749407,-41.27332345
174.775896,-41.27236714
174.7763394,-41.2719573
174.77709,-41.2715816
174.7775335,-41.27144499
174.7780793,-41.2711376
174.7783181,-41.27117176
174.778864,-41.27072776
174.7794098,-41.27035206
174.7798192,-41.26987391
174.7802968,-41.26949822
174.780638,-41.26922499
NA,NA
174.7804674,-41.27028376
174.780945,-41.27110345
174.7809109,-41.27127422
174.780365,-41.27127422
174.7796145,-41.27144499
174.7790687,-41.27154745
174.778864,-41.27154745
174.7787616,-41.27141083
174.7792734,-41.27089853
174.7799557,-41.27048868
174.7804674,-41.27028376
